name,city,state,uei,cage,sam_status,bucket,why,source
Coffeyville Community College,Coffeyville,KS,CSJ2N65A9GB1,,WINNER,WINNER,~$13.1M federal grants since 2006 including DOL $1.35M earmark,govtribe
City of Coffeyville,Coffeyville,KS,,,SAM_GRANT,BUYER,SS4A $160k + CDBG $701k recipient; issues local bids,city site
Coffeyville Regional Medical Center,Coffeyville,KS,,,SAM_GRANT,BUYER,SAM entity; 2026 rural hospital federal assistance; facilities customer,opengovus/KSNT
Coffeyville Unified SD 445,Coffeyville,KS,,,SAM_GRANT,BUYER,SAM since 2007; school facility bids,opengovus
J Graham Construction Inc,Coffeyville,KS,,,KDOT,WINNER,KDOT prequal; won Parsons path $449k; local GC,KDOT/AAroads
Davis Contracting LP,Independence,KS,,,HIST_DOD,WINNER,$13.2M / 89 DoD actions 2000-2020,governmentcontractswon
Catalytic Industrial Group Inc,Independence,KS,,,HIST_DOD,WINNER,$682k DoD 2000-2020,governmentcontractswon
E Duane Vining,Cherryvale,KS,,,HIST_DOD,WINNER,$956k DoD 2000-2020,governmentcontractswon
Decker Construction Inc,Coffeyville,KS,MANUBQAQ6R64,00NQ2,SAM,SAM_IDLE,On SAM since 2020 CAGE 00NQ2; city GC list; no large recent prime story,opengovus
Muller Construction Inc,Coffeyville,KS,G9QLCDGTW4V1,5TMN9,SAM,SAM_IDLE,UEI G9QLCDGTW4V1 CAGE 5TMN9; SAM purpose flagged assistance; city GC,cage.report
Property Management Inc,Coffeyville,KS,RSP9LMJXJV25,16ZW8,SAM,SAM_IDLE,SDVOSB self-cert; registered 2024; water/facility PSCs; little prime evidence,opengovus
Berg Reinvigorations LLC,Coffeyville,KS,ZNGNVFNJNHA4,8GUP1,SAM,SAM_IDLE,On SAM; local revitalization shop; verify awards before teaming,opengovus
Redline Fire Co LLC,Pittsburg,KS,,,CITY_LICENSE,DARK,On Coffeyville GC list; fire co; no UEI in seed,city GC list
Bookter Electric LLC,Coffeyville,KS,,,CITY_LICENSE,DARK,Licensed electrician; no UEI in seed,city trade list
Chastain Electric,Coffeyville,KS,,,CITY_LICENSE,DARK,Licensed electrician; no UEI in seed,city trade list
John's Electric,Coffeyville,KS,,,CITY_LICENSE,DARK,Licensed electrician; no UEI in seed,city trade list
Blankenship Electric LLC,Independence,KS,,,CITY_LICENSE,DARK,Licensed electrician; no UEI in seed,city trade list
Greer's Electric,Independence,KS,,,CITY_LICENSE,DARK,Licensed electrician; no UEI in seed,city trade list
Apex Heat & Air Inc,Coffeyville,KS,,,CITY_LICENSE,DARK,Licensed mechanical; NAICS 238220; no UEI in seed,city trade list
Hite Heating & Cooling,Coffeyville,KS,,,CITY_LICENSE,DARK,Licensed mechanical; no UEI in seed,city trade list
Lee's Cooling & Heating Co,Independence,KS,,,CITY_LICENSE,DARK,Licensed mechanical; no UEI in seed,city trade list
Eck Heat & A/C,Dearing,KS,,,CITY_LICENSE,DARK,Licensed mechanical/gas; no UEI in seed,city trade list
CRI Plumbing LLC,Coffeyville,KS,,,CITY_LICENSE,DARK,Licensed plumber; no UEI in seed,city trade list
Industrial Plumbing,Coffeyville,KS,,,CITY_LICENSE,DARK,Licensed plumber; no UEI in seed,city trade list
McCullough Plumbing,Coffeyville,KS,,,CITY_LICENSE,DARK,Licensed plumber; no UEI in seed,city trade list
M&M Plumbing,Caney,KS,,,CITY_LICENSE,DARK,Licensed plumber; no UEI in seed,city trade list
Battaglear Concrete,Coffeyville,KS,,,CITY_LICENSE,DARK,City GC list; no UEI in seed,city GC list
Dixon Construction,Coffeyville,KS,,,CITY_LICENSE,DARK,City GC list; no UEI in seed,city GC list
Finney Construction,South Coffeyville,OK,,,CITY_LICENSE,DARK,City GC list; no UEI in seed,city GC list
Schicke Construction LLC,Independence,KS,,,CITY_LICENSE,DARK,City GC list; no UEI in seed,city GC list
Jabben Construction,Independence,KS,,,CITY_LICENSE,DARK,City GC list; no UEI in seed,city GC list
South Roofing and Contracting LLC,Independence,KS,,,CITY_LICENSE,DARK,City GC list; no UEI in seed,city GC list
Pure Value Renovations LLC,Coffeyville,KS,,,CITY_LICENSE,DARK,City GC list; no UEI in seed,city GC list
Independence Heating & Air Inc,Independence,KS,,,HIST_DOD,SAM_IDLE,Tiny historic DoD $6.6k; licensed mechanical lane,governmentcontractswon
Alderman Acres Mfg Inc,Coffeyville,KS,,,HIST_DOD,SAM_IDLE,Historic DoD $55k; manufacturing not services,governmentcontractswon
Klaver Construction Company Inc,Wichita,KS,,,KDOT,WINNER,Won US-166 Caney-Coffeyville guardrail $1.39M,KDOT
Heck & Wicker Inc,Parsons,KS,,,KDOT,WINNER,KDOT prequal Parsons; regional competitor/teammate,KDOT
