item,unit,unit_cost,source
"1-in CTS SDR-9 HDPE (poly) pipe",LF,1.85,"TEMPLATE - verify with supplier quote"
"3/4-in CTS SDR-9 HDPE (poly) pipe",LF,1.40,"TEMPLATE - verify with supplier quote"
"1-in Type K soft copper",LF,6.20,"TEMPLATE - verify with supplier quote"
"4-in SDR-35 PVC sewer pipe",LF,4.10,"TEMPLATE - verify with supplier quote"
"6-in SDR-35 PVC sewer pipe",LF,7.25,"TEMPLATE - verify with supplier quote"
"4-in SCH 40 PVC",LF,5.60,"TEMPLATE - verify with supplier quote"
"1-in brass corp stop",EA,68.00,"TEMPLATE - verify with supplier quote"
"1-in brass curb stop + box",EA,125.00,"TEMPLATE - verify with supplier quote"
"3/4-in meter setter",EA,145.00,"TEMPLATE - verify with supplier quote"
"Brass fittings / couplings (avg)",EA,32.00,"TEMPLATE - verify with supplier quote"
"4-in cleanout assembly",EA,55.00,"TEMPLATE - verify with supplier quote"
"Wye / fittings 4-in PVC (avg)",EA,18.00,"TEMPLATE - verify with supplier quote"
"Bedding sand",TON,28.00,"TEMPLATE - verify with supplier quote"
"Flowable fill",CY,135.00,"TEMPLATE - verify with supplier quote"
"Crushed rock backfill",TON,32.00,"TEMPLATE - verify with supplier quote"
"Sod restoration",SY,9.50,"TEMPLATE - verify with supplier quote"
"Cold-mix asphalt patch",TON,185.00,"TEMPLATE - verify with supplier quote"
"Concrete sidewalk repair",SY,85.00,"TEMPLATE - verify with supplier quote"
